date,state,daily
7/10/2021,Malaysia,94
7/11/2021,Malaysia,174
7/12/2021,Malaysia,351
7/13/2021,Malaysia,412
7/14/2021,Malaysia,419
7/15/2021,Malaysia,385
7/16/2021,Malaysia,282
7/17/2021,Malaysia,88
7/18/2021,Malaysia,131
7/19/2021,Malaysia,227
7/20/2021,Malaysia,67
7/21/2021,Malaysia,236
7/22/2021,Malaysia,209
7/23/2021,Malaysia,192
7/24/2021,Malaysia,104
7/25/2021,Malaysia,140
7/26/2021,Malaysia,270
7/27/2021,Malaysia,295
7/28/2021,Malaysia,376
7/29/2021,Malaysia,298
7/30/2021,Malaysia,231
7/31/2021,Malaysia,75
8/1/2021,Malaysia,159
8/2/2021,Malaysia,293
8/3/2021,Malaysia,271
8/4/2021,Malaysia,292
8/5/2021,Malaysia,240
8/6/2021,Malaysia,233
8/7/2021,Malaysia,75
8/8/2021,Malaysia,145
8/9/2021,Malaysia,254
8/10/2021,Malaysia,51
8/11/2021,Malaysia,267
8/12/2021,Malaysia,251
8/13/2021,Malaysia,251
8/14/2021,Malaysia,57
8/15/2021,Malaysia,107
8/16/2021,Malaysia,232
8/17/2021,Malaysia,262
8/18/2021,Malaysia,265
8/19/2021,Malaysia,194
8/20/2021,Malaysia,247
8/21/2021,Malaysia,71
8/22/2021,Malaysia,115
8/23/2021,Malaysia,269
8/24/2021,Malaysia,181
8/25/2021,Malaysia,249
8/26/2021,Malaysia,201
8/27/2021,Malaysia,225
8/28/2021,Malaysia,56
8/29/2021,Malaysia,93
8/30/2021,Malaysia,206
8/31/2021,Malaysia,34
9/1/2021,Malaysia,171
9/2/2021,Malaysia,188
9/3/2021,Malaysia,219
9/4/2021,Malaysia,56
9/5/2021,Malaysia,104
9/6/2021,Malaysia,195
9/7/2021,Malaysia,236
9/8/2021,Malaysia,226
9/9/2021,Malaysia,229
9/10/2021,Malaysia,183
9/11/2021,Malaysia,63
9/12/2021,Malaysia,95
9/13/2021,Malaysia,165
9/14/2021,Malaysia,248
9/15/2021,Malaysia,214
9/16/2021,Malaysia,48
9/17/2021,Malaysia,196
9/18/2021,Malaysia,68
9/19/2021,Malaysia,90
9/20/2021,Malaysia,218
9/21/2021,Malaysia,236
9/22/2021,Malaysia,314
9/23/2021,Malaysia,242
9/24/2021,Malaysia,212
9/25/2021,Malaysia,67
9/26/2021,Malaysia,114
9/27/2021,Malaysia,204
9/28/2021,Malaysia,201
9/29/2021,Malaysia,301
9/30/2021,Malaysia,246
10/1/2021,Malaysia,190
10/2/2021,Malaysia,97
10/3/2021,Malaysia,110
10/4/2021,Malaysia,215
10/5/2021,Malaysia,234
10/6/2021,Malaysia,307
10/7/2021,Malaysia,241
10/8/2021,Malaysia,236
10/9/2021,Malaysia,110
10/10/2021,Malaysia,129
10/11/2021,Malaysia,247
10/12/2021,Malaysia,284
10/13/2021,Malaysia,350
10/14/2021,Malaysia,261
10/15/2021,Malaysia,249
10/16/2021,Malaysia,112
10/17/2021,Malaysia,110
10/18/2021,Malaysia,280
10/19/2021,Malaysia,63
10/20/2021,Malaysia,331
